epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7586,2.18755,3.48287,2.10701,2e-05,0.00426,1e-05,0,nan,nan,nan,0.000652778,0.000652778,0.000652778
2,98.472,2.23104,2.618,2.28478,2e-05,0.00426,1e-05,0,nan,nan,nan,0.00130638,0.00130638,0.00130638
3,146.89,2.16382,2.42943,2.22031,2e-05,0.00426,1e-05,0,nan,nan,nan,0.00194679,0.00194679,0.00194679
4,191.348,2.1268,2.45463,2.22516,0.06739,0.05106,0.01216,0.00574,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,237.553,2.06664,2.17641,2.17695,0.29389,0.07234,0.05131,0.01597,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,282.106,2.01298,2.11462,2.07818,0.26671,0.27234,0.14857,0.0625,2.09979,7.78189,1.99529,0.001901,0.001901,0.001901
7,327.643,1.97021,2.12892,2.06739,0.52304,0.43404,0.44582,0.19078,1.98649,3.06679,1.92405,0.0018812,0.0018812,0.0018812
8,372.469,1.95745,1.99998,2.06431,0.07381,0.39149,0.05765,0.02649,1.79957,15.4696,1.83514,0.0018614,0.0018614,0.0018614
9,412.997,1.93055,1.90202,2.01525,0.61783,0.45532,0.51001,0.23937,1.84046,2.8382,1.78602,0.0018416,0.0018416,0.0018416
10,458.251,1.85907,1.89616,1.96615,0.53706,0.4383,0.42648,0.1917,1.84286,2.84632,1.82826,0.0018218,0.0018218,0.0018218
11,498.42,1.82898,1.76622,1.92184,0.67032,0.48936,0.53242,0.24495,1.96986,2.3729,1.95983,0.001802,0.001802,0.001802
12,539.776,1.81943,1.68861,1.96577,0.70102,0.6,0.64652,0.31789,1.7557,2.41403,1.7357,0.0017822,0.0017822,0.0017822
13,582.717,1.83299,1.7634,1.99792,0.6912,0.4383,0.49632,0.21921,1.96085,3.52905,1.9737,0.0017624,0.0017624,0.0017624
14,623.907,1.79226,1.70814,1.91986,0.69228,0.61702,0.69914,0.33192,1.77024,1.67987,1.72395,0.0017426,0.0017426,0.0017426
