epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3457,2.54179,5.15392,2.20801,0.00111,0.31111,0.0009,0.00041,2.22305,5.02355,1.96612,0.00018,0.00018,0.00018
2,16.1416,2.09225,4.24974,1.87884,0.00135,0.37778,0.03882,0.0064,2.14496,4.88043,1.77724,0.000372476,0.000372476,0.000372476
3,20.9805,1.80765,3.56175,1.61708,0.00175,0.48889,0.03782,0.01845,2.17801,4.6474,1.7803,0.000557032,0.000557032,0.000557032
4,25.9914,1.81372,3.07896,1.54165,0.00183,0.51111,0.03533,0.00432,1.91336,4.54385,1.83555,0.000733668,0.000733668,0.000733668
5,29.464,1.73551,2.83802,1.60387,0.00408,0.06667,0.00659,0.00234,2.11856,5.08649,2.70314,0.000902384,0.000902384,0.000902384
6,32.9511,1.69163,2.68871,1.55297,0.29633,0.02222,0.04264,0.00781,1.96955,4.59084,1.8761,0.00106318,0.00106318,0.00106318
7,37.4853,1.63114,2.50668,1.4989,0.61785,0.04444,0.04761,0.01668,2.15091,4.40221,2.01626,0.00121606,0.00121606,0.00121606
8,42.1213,1.81318,2.59269,1.59707,0.04392,0.02222,0.00709,0.0027,2.04209,4.53356,1.92779,0.00136101,0.00136101,0.00136101
9,45.6553,1.81021,2.55494,1.62101,0.16072,0.08889,0.02339,0.0058,2.04884,7.84974,2.05273,0.00149805,0.00149805,0.00149805
10,49.0651,1.74775,2.46366,1.61159,0.02726,0.2,0.01652,0.00613,2.12863,6.73185,2.16693,0.00162716,0.00162716,0.00162716
11,53.4761,1.62413,2.18964,1.50738,0.07509,0.08889,0.0291,0.00946,1.94639,6.13583,2.0459,0.001604,0.001604,0.001604
12,58.6591,1.6616,2.24934,1.58592,0.37698,0.28889,0.26636,0.09992,2.05394,3.03808,1.93988,0.0015644,0.0015644,0.0015644
13,62.1202,1.64787,2.06833,1.61083,0.36285,0.33333,0.29693,0.12456,1.91158,3.04469,1.793,0.0015248,0.0015248,0.0015248
14,65.6644,1.62348,2.02782,1.49976,0.42125,0.24444,0.2674,0.12852,1.88127,2.87529,1.83134,0.0014852,0.0014852,0.0014852
15,69.8058,1.54107,1.90776,1.45256,0.60217,0.35556,0.39918,0.20364,1.81152,2.78811,1.72695,0.0014456,0.0014456,0.0014456
16,75.3397,1.57233,2.01082,1.54433,0.6182,0.43195,0.49716,0.2201,1.8602,2.05397,1.62959,0.001406,0.001406,0.001406
17,78.892,1.55527,1.95892,1.53817,0.43142,0.42222,0.35855,0.16853,1.76202,2.16031,1.74593,0.0013664,0.0013664,0.0013664
18,82.3089,1.45813,1.81486,1.40862,0.342,0.42222,0.32591,0.15025,1.94537,2.14555,1.96074,0.0013268,0.0013268,0.0013268
19,86.3736,1.41212,1.64946,1.37774,0.58304,0.4973,0.44716,0.22542,1.88219,2.04556,1.78398,0.0012872,0.0012872,0.0012872
20,92.1277,1.38154,1.65531,1.35848,0.67359,0.55556,0.56303,0.27075,1.93792,1.9046,1.76093,0.0012476,0.0012476,0.0012476
21,95.6061,1.42115,1.6354,1.36492,0.77142,0.51111,0.55418,0.25931,1.8679,1.89085,1.73843,0.001208,0.001208,0.001208
22,98.9911,1.46144,1.61962,1.42671,0.66198,0.46667,0.61059,0.28213,1.91973,1.87054,1.71883,0.0011684,0.0011684,0.0011684
23,102.754,1.48387,1.54455,1.42504,0.69424,0.64444,0.67929,0.30777,1.96951,1.66303,1.884,0.0011288,0.0011288,0.0011288
24,108.685,1.52452,1.52434,1.43091,0.64604,0.71111,0.73211,0.32994,1.82661,1.54289,1.81276,0.0010892,0.0010892,0.0010892
25,112.187,1.48369,1.52822,1.42491,0.63382,0.73333,0.68168,0.27575,1.8978,1.71117,1.85324,0.0010496,0.0010496,0.0010496
26,115.867,1.43915,1.45847,1.36893,0.67922,0.62222,0.693,0.33288,1.78505,1.74885,1.65515,0.00101,0.00101,0.00101
27,119.687,1.3511,1.43595,1.39887,0.79648,0.55556,0.69691,0.37394,1.73904,1.75602,1.55949,0.0009704,0.0009704,0.0009704
28,125.679,1.37203,1.38591,1.33017,0.79772,0.71111,0.7251,0.37885,1.58605,1.50552,1.56855,0.0009308,0.0009308,0.0009308
29,129.221,1.29447,1.2977,1.26542,0.79736,0.75556,0.77892,0.40331,1.54607,1.49152,1.49824,0.0008912,0.0008912,0.0008912
30,132.758,1.30626,1.30782,1.29022,0.79478,0.6885,0.74273,0.37308,1.86797,1.29062,1.6057,0.0008516,0.0008516,0.0008516
31,136.515,1.3052,1.28188,1.29916,0.79488,0.68892,0.79314,0.39523,1.78722,1.20914,1.57754,0.000812,0.000812,0.000812
32,142.258,1.28156,1.20792,1.28132,0.88162,0.66211,0.76619,0.39849,1.85657,1.23606,1.66152,0.0007724,0.0007724,0.0007724
33,146,1.22603,1.22065,1.23798,0.75293,0.73333,0.77238,0.42157,1.74823,1.24872,1.62489,0.0007328,0.0007328,0.0007328
34,149.498,1.31044,1.24596,1.31064,0.86501,0.77778,0.84297,0.4364,1.69163,1.18333,1.65339,0.0006932,0.0006932,0.0006932
35,153.034,1.26663,1.13775,1.28166,0.84729,0.75556,0.84527,0.42764,1.79626,1.34413,1.75948,0.0006536,0.0006536,0.0006536
36,158.661,1.30376,1.16657,1.2614,0.70536,0.75556,0.75861,0.41416,1.81446,1.31172,1.75148,0.000614,0.000614,0.000614
37,162.321,1.18182,1.06983,1.24753,0.9131,0.70063,0.77466,0.42843,1.71554,1.23627,1.59473,0.0005744,0.0005744,0.0005744
38,165.783,1.15248,1.06171,1.20294,0.85771,0.75556,0.7777,0.41348,1.78512,1.26143,1.6898,0.0005348,0.0005348,0.0005348
39,169.215,1.16437,1.07477,1.24798,0.78913,0.74858,0.77366,0.44369,1.69992,1.1634,1.60606,0.0004952,0.0004952,0.0004952
40,174.926,1.15109,1.03461,1.22521,0.74484,0.7136,0.76464,0.46992,1.62964,1.15265,1.54956,0.0004556,0.0004556,0.0004556
41,180.357,1.12062,1.11697,1.20839,0.74219,0.76782,0.78149,0.4413,1.68458,1.18515,1.67089,0.000416,0.000416,0.000416
42,183.878,1.13403,1.01266,1.24191,0.81601,0.78858,0.78793,0.41317,1.74016,1.07947,1.73659,0.0003764,0.0003764,0.0003764
43,187.865,1.09732,0.94984,1.17569,0.79686,0.82222,0.79982,0.44406,1.77871,1.02612,1.73911,0.0003368,0.0003368,0.0003368
44,193.343,1.07581,0.96131,1.17996,0.8368,0.82222,0.80979,0.46059,1.77426,1.01673,1.66968,0.0002972,0.0002972,0.0002972
45,196.698,1.02282,0.88565,1.11048,0.83614,0.82222,0.81288,0.46166,1.71212,0.99752,1.64199,0.0002576,0.0002576,0.0002576
46,200,1.00786,0.89703,1.12321,0.79274,0.85007,0.82046,0.47267,1.70552,1.03809,1.61668,0.000218,0.000218,0.000218
47,203.552,1.02057,0.90111,1.16048,0.77703,0.86667,0.81967,0.45389,1.73492,1.00406,1.67074,0.0001784,0.0001784,0.0001784
48,208.882,1.00103,0.86915,1.12801,0.82327,0.82827,0.81943,0.44219,1.76341,0.97503,1.71669,0.0001388,0.0001388,0.0001388
49,212.686,0.94187,0.81926,1.08961,0.8436,0.84444,0.81956,0.449,1.76792,0.96655,1.73915,9.92e-05,9.92e-05,9.92e-05
50,216.05,1.00841,0.82181,1.1465,0.83167,0.84444,0.82223,0.44834,1.75018,0.95297,1.73994,5.96e-05,5.96e-05,5.96e-05
